mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_tfidf__max_df,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,classifier,tokenizer,param_classifier__alpha,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators
0.10497744878133138,0.003914908970662206,0.04118450482686361,0.00136536684505182,,,0.8,No Max Features,"{'classifier__alpha': 0.01, 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.55,0.5189873417721519,0.5443037974683544,0.5377637130801688,0.01347901505904077,1,naive_bayes,thai_preprocess,0.01,,,
0.1303121248881022,0.015332533306426737,0.054421424865722656,0.005082054757863431,,,0.9,5000,"{'classifier__alpha': 0.01, 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.55,0.5189873417721519,0.5443037974683544,0.5377637130801688,0.01347901505904077,1,naive_bayes,thai_preprocess,0.01,,,
0.09961374600728352,0.005079359260515532,0.052669366200764976,0.00672591466426664,,,0.9,7000,"{'classifier__alpha': 0.01, 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.55,0.5189873417721519,0.5443037974683544,0.5377637130801688,0.01347901505904077,1,naive_bayes,thai_preprocess,0.01,,,
0.12201531728108723,0.0010182312452594216,0.04557991027832031,0.0030674519724597734,,,0.9,No Max Features,"{'classifier__alpha': 0.01, 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.55,0.5189873417721519,0.5443037974683544,0.5377637130801688,0.01347901505904077,1,naive_bayes,thai_preprocess,0.01,,,
0.12597155570983887,0.013977485321203544,0.05996290842692057,0.005104242743736243,,,0.8,5000,"{'classifier__alpha': 0.1, 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.5125,0.4430379746835443,0.5189873417721519,0.4915084388185654,0.034375968552807855,7,naive_bayes,thai_preprocess,0.1,,,
0.1364931265513102,0.007528354229102134,0.05216304461161295,0.005877672599166644,,,0.8,7000,"{'classifier__alpha': 0.1, 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.5125,0.4430379746835443,0.5189873417721519,0.4915084388185654,0.034375968552807855,7,naive_bayes,thai_preprocess,0.1,,,
0.11519026756286621,0.003900384220220219,0.05525477727254232,0.008004968234932906,,,0.8,No Max Features,"{'classifier__alpha': 0.1, 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.5125,0.4430379746835443,0.5189873417721519,0.4915084388185654,0.034375968552807855,7,naive_bayes,thai_preprocess,0.1,,,
0.12118840217590332,0.015564270187948077,0.046158154805501304,0.0019571035579940953,,,0.9,5000,"{'classifier__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.5125,0.4430379746835443,0.5189873417721519,0.4915084388185654,0.034375968552807855,7,naive_bayes,thai_preprocess,0.1,,,
0.12827062606811523,0.012335547078074468,0.051381190617879234,0.00340705116600002,,,0.9,7000,"{'classifier__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.5125,0.4430379746835443,0.5189873417721519,0.4915084388185654,0.034375968552807855,7,naive_bayes,thai_preprocess,0.1,,,
0.11025492350260417,0.00345398049274572,0.05139056841532389,0.0022045761282354064,,,0.9,No Max Features,"{'classifier__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.5125,0.4430379746835443,0.5189873417721519,0.4915084388185654,0.034375968552807855,7,naive_bayes,thai_preprocess,0.1,,,
0.10976052284240723,0.006053870589370857,0.05118171374003092,0.003382882968363034,,,0.8,5000,"{'classifier__alpha': 1.0, 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.3125,0.31645569620253167,0.2911392405063291,0.3066983122362869,0.01111981468476162,13,naive_bayes,thai_preprocess,1.0,,,
0.11606828371683757,0.002665816081413004,0.05177640914916992,0.0046613440761761465,,,0.8,7000,"{'classifier__alpha': 1.0, 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.3125,0.31645569620253167,0.2911392405063291,0.3066983122362869,0.01111981468476162,13,naive_bayes,thai_preprocess,1.0,,,
0.12062311172485352,0.01233213525379366,0.05331961313883463,0.007590353726668774,,,0.8,No Max Features,"{'classifier__alpha': 1.0, 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.3125,0.31645569620253167,0.2911392405063291,0.3066983122362869,0.01111981468476162,13,naive_bayes,thai_preprocess,1.0,,,
0.10641360282897949,0.004156613841249445,0.04776406288146973,0.0010691313472972965,,,0.9,5000,"{'classifier__alpha': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.3125,0.31645569620253167,0.2911392405063291,0.3066983122362869,0.01111981468476162,13,naive_bayes,thai_preprocess,1.0,,,
0.10707569122314453,0.011103030083541134,0.04507708549499512,0.0014587044249072057,,,0.9,7000,"{'classifier__alpha': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.3125,0.31645569620253167,0.2911392405063291,0.3066983122362869,0.01111981468476162,13,naive_bayes,thai_preprocess,1.0,,,
0.1092519760131836,0.0027150780138518256,0.04018958409627279,0.000402461688197732,,,0.9,No Max Features,"{'classifier__alpha': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.3125,0.31645569620253167,0.2911392405063291,0.3066983122362869,0.01111981468476162,13,naive_bayes,thai_preprocess,1.0,,,
21.064574162165325,0.5900967707641528,0.05154554049173991,0.0040316994331133955,,,0.8,5000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.525,0.5189873417721519,0.4936708860759494,0.5125527426160338,0.013575256769615148,42,gradient_boosting,thai_preprocess,,0.01,3.0,100.0
20.816810925801594,0.530953354828839,0.04632981618245443,0.0015687276070136512,,,0.8,7000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.525,0.5316455696202531,0.4810126582278481,0.5125527426160338,0.02246662103810616,42,gradient_boosting,thai_preprocess,,0.01,3.0,100.0
20.32003688812256,1.048374405950459,0.04637932777404785,0.00676897460355905,,,0.8,No Max Features,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.525,0.5189873417721519,0.46835443037974683,0.5041139240506329,0.02540464597194555,58,gradient_boosting,thai_preprocess,,0.01,3.0,100.0
19.718286275863647,0.3092118836515835,0.04621108373006185,0.004002666305307354,,,0.9,5000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.525,0.5316455696202531,0.4810126582278481,0.5125527426160338,0.02246662103810616,42,gradient_boosting,thai_preprocess,,0.01,3.0,100.0
19.71325953801473,0.44280193459289324,0.046892642974853516,0.002209872739188218,,,0.9,7000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.525,0.5316455696202531,0.4936708860759494,0.5167721518987342,0.016558829686014066,37,gradient_boosting,thai_preprocess,,0.01,3.0,100.0
20.423600435256958,0.7165966274687785,0.044962167739868164,0.0008622189176028063,,,0.9,No Max Features,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.525,0.5316455696202531,0.4810126582278481,0.5125527426160338,0.02246662103810616,42,gradient_boosting,thai_preprocess,,0.01,3.0,100.0
42.640802462895714,0.7490588898745334,0.07017238934834798,0.028763874663568955,,,0.8,5000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.5125,0.5316455696202531,0.4810126582278481,0.508386075949367,0.020874485340379306,52,gradient_boosting,thai_preprocess,,0.01,3.0,200.0
42.990206162134804,0.7042491267570026,0.04823795954386393,0.000927038341867077,,,0.8,7000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.5,0.5189873417721519,0.45569620253164556,0.4915611814345992,0.026518576139191005,71,gradient_boosting,thai_preprocess,,0.01,3.0,200.0
40.62279462814331,1.800556296801131,0.05159616470336914,0.004566475918660114,,,0.8,No Max Features,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.525,0.5063291139240507,0.46835443037974683,0.4998945147679325,0.023568809744033536,65,gradient_boosting,thai_preprocess,,0.01,3.0,200.0
38.5067523320516,0.0578484843536987,0.05207220713297526,0.004674352599451871,,,0.9,5000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.5,0.5316455696202531,0.46835443037974683,0.5,0.025838499396447005,62,gradient_boosting,thai_preprocess,,0.01,3.0,200.0
38.84506344795227,0.9128266725540887,0.04648232460021973,0.0021361172257931245,,,0.9,7000,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.5125,0.5189873417721519,0.4936708860759494,0.508386075949367,0.010736976935656445,52,gradient_boosting,thai_preprocess,,0.01,3.0,200.0
37.63334536552429,0.15905577753280656,0.04555201530456543,0.002800761998180415,,,0.9,No Max Features,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.5375,0.5189873417721519,0.4936708860759494,0.5167194092827004,0.01796488139258339,38,gradient_boosting,thai_preprocess,,0.01,3.0,200.0
